Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-COG1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimProcessUserPool/Resource","Compliant","N/A","Error","The Cognito user pool does not have a password policy that minimally specify a password length of at least 8 characters, as well as requiring uppercase, numeric, and special characters."
"AwsSolutions-COG2","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimProcessUserPool/Resource","Suppressed","User pool is acceptable for non-production code.","Warning","The Cognito user pool does not require MFA."
"AwsSolutions-COG3","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimProcessUserPool/Resource","Suppressed","User pool is acceptable for non-production code.","Error","The Cognito user pool does not have AdvancedSecurityMode set to ENFORCED."
"AwsSolutions-APIG2","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Resource","Suppressed","Request validation is acceptable for non-production code.","Error","The REST API does not have request validation enabled."
"AwsSolutions-APIG1","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/DeploymentStage.dev/Resource","Suppressed","Access logging is acceptable for non-production code.","Error","The API does not have access logging enabled."
"AwsSolutions-APIG3","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/DeploymentStage.dev/Resource","Suppressed","WAF is acceptable for non-production code.","Warning","The REST API stage is not associated with AWS WAFv2 web ACL."
"AwsSolutions-APIG6","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/DeploymentStage.dev/Resource","Suppressed","API steps are acceptable for non-production code.","Error","The REST API Stage does not have CloudWatch logging enabled for all methods."
"AwsSolutions-APIG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-claims/GET/Resource","Compliant","N/A","Error","The API does not implement authorization."
"AwsSolutions-COG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-claims/GET/Resource","Compliant","N/A","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-APIG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-claim-report/GET/Resource","Compliant","N/A","Error","The API does not implement authorization."
"AwsSolutions-COG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-claim-report/GET/Resource","Compliant","N/A","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-APIG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-presigned-post-url/GET/Resource","Compliant","N/A","Error","The API does not implement authorization."
"AwsSolutions-COG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/get-presigned-post-url/GET/Resource","Compliant","N/A","Error","The API GW method does not use a Cognito user pool authorizer."
"AwsSolutions-APIG4","InsuranceClaimProcessApiStack/InsuranceClaimProcessApi/InsuranceClaimApi/Default/start-claim-processing/GET/Resource","Compliant","N/A","Error","The API does not implement authorization."
