Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/insuranceclaim-frontend-bucket/Resource","Suppressed","Server Access Logging is not required for non-production code.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/insuranceclaim-frontend-bucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/insuranceclaim-frontend-bucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/insuranceclaim-frontend-bucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/insuranceclaim-frontend-bucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontLogsBucket/Resource","Suppressed","Server Access Logging is not required for non-production code.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontLogsBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontLogsBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontLogsBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontLogsBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-CFR1","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Suppressed","The CloudFront distribution may require Geo restrictions","Warning","The CloudFront distribution may require Geo restrictions."
"AwsSolutions-CFR2","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Suppressed","The Web Application Firewall","Warning","The CloudFront distribution may require integration with AWS WAF."
"AwsSolutions-CFR3","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Compliant","N/A","Error","The CloudFront distribution does not have access logging enabled."
"AwsSolutions-CFR4","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Suppressed","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections","Error","The CloudFront distribution allows for SSLv3 or TLSv1 for HTTPS viewer connections."
"AwsSolutions-CFR5","InsuranceClaimProcessFrontEndStack/InsuranceClaimProcessFrontEnd/CloudFrontDistributionSPA/Resource","Compliant","N/A","Error","The CloudFront distributions uses SSLv3 or TLSv1 for communication to the origin."
