Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","InsuranceClaimProcessStack/InsuranceClaimProcessWorkflow/InsuranceClaimProcessStepFunctions/insuranceclaim-ClaimProcessing-sfn-role/Resource","Suppressed","IAM policies are with '*' resources have been reviewed that they only have access to log destinations or resource names have prefixes.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
